URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/fm-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.592",FinancialResourceStatusCodes,Financial Resource Status Codes,"This value set includes Status codes.","StructureDefinition/ach-monthly-coverage","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/http-verb,4.0.1,active,"2.16.840.1.113883.4.642.3.624",HTTPVerb,HTTPVerb,"HTTP verbs (in the HTTP command line). See [HTTP rfc](https://tools.ietf.org/html/rfc7231) for details.","StructureDefinition/nhsn-measurereport-bundle,StructureDefinition/nhsn-subject-bundle,StructureDefinition/nhsn-submission-header-bundle","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/identifier-type,4.0.1,active,"2.16.840.1.113883.4.642.3.45",Identifier Type Codes,IdentifierType,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/cross-measure-patient,StructureDefinition/ach-monthly-encounter,StructureDefinition/nhsn-submitting-organization,StructureDefinition/ach-daily-encounter","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/cross-measure-patient,StructureDefinition/ach-monthly-encounter,StructureDefinition/nhsn-submitting-organization,StructureDefinition/ach-daily-encounter","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/cross-measure-patient,StructureDefinition/ach-monthly-observation,StructureDefinition/ach-monthly-device,StructureDefinition/ach-monthly-condition,StructureDefinition/ach-monthly-medicationrequest,StructureDefinition/ach-daily-medicationadministration,StructureDefinition/nhsn-submission-header-bundle,StructureDefinition/ach-monthly-procedure,StructureDefinition/ach-monthly-coverage,StructureDefinition/ach-monthly-encounter,StructureDefinition/ach-daily-observation-lab,StructureDefinition/ach-monthly-diagnosticreport,StructureDefinition/nhsn-subject-bundle,StructureDefinition/ach-daily-servicerequest,StructureDefinition/ach-daily-location,StructureDefinition/ach-monthly-specimen,StructureDefinition/ach-daily-diagnosticreport-lab,StructureDefinition/ach-daily-observation,StructureDefinition/ach-monthly-medication,StructureDefinition/poi-list,StructureDefinition/ach-monthly-servicerequest,StructureDefinition/ach-monthly-diagnosticreport-lab,StructureDefinition/ip-measurereport-list,StructureDefinition/nhsn-measurereport-bundle,StructureDefinition/ach-monthly-medicationadministration,StructureDefinition/subjectlist-measurereport,StructureDefinition/ach-daily-medication,StructureDefinition/ach-daily-medicationrequest,StructureDefinition/ach-daily-procedure,StructureDefinition/ach-daily-encounter,StructureDefinition/ach-monthly-observation-vitals,StructureDefinition/ach-monthly-diagnosticreport-note,StructureDefinition/ach-monthly-location,StructureDefinition/nhsn-submitting-device,StructureDefinition/nhsn-submitting-organization,StructureDefinition/ach-monthly-observation-lab,StructureDefinition/ach-daily-specimen","hl7.terminology.r4"
http://hl7.org/fhir/ValueSet/link-type,4.0.1,active,"2.16.840.1.113883.4.642.3.423",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","StructureDefinition/cross-measure-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/list-empty-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.322",ListEmptyReasons,List Empty Reasons,"General reasons for a list to be empty. Reasons are either related to a summary list (i.e. problem or medication list) or to a workflow related list (i.e. consultation list).","StructureDefinition/poi-list,StructureDefinition/ip-measurereport-list","THO"
http://hl7.org/fhir/ValueSet/list-example-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.316",ExampleUseCodesForList,Example Use Codes for List,"Example use codes for the List resource - typical kinds of use.","StructureDefinition/poi-list,StructureDefinition/ip-measurereport-list","THO"
http://hl7.org/fhir/ValueSet/list-item-flag,4.0.1,draft,"2.16.840.1.113883.4.642.3.320",PatientMedicineChangeTypes,Patient Medicine Change Types,"Example Item Flags for the List Resource. In this case, these are the kind of flags that would be used on a medication list at the end of a consultation.","StructureDefinition/poi-list,StructureDefinition/ip-measurereport-list","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/list-mode,4.0.1,draft,"2.16.840.1.113883.4.642.3.318",ListMode,ListMode,"The processing mode that applies to this list.","StructureDefinition/poi-list,StructureDefinition/ip-measurereport-list","hl7.fhir.r4.core"
